dataset,positive_label_name,labelled_items_count,positive_label_count,evaluation_repeat_count,scoring_mode,L1,L2,total_evaluations_count,hits@10,HR@10,hits@5,HR@5,hits@1,HR@1,median_label_positive_rank,mean_label_positive_rank
IWSC.USEDAN.json,SL_consumers,17,376,10,a,5,10,3760,2869,0.763,1917,0.51,571,0.152,4,7.725
IWSC.USEDAN.json,SL_consumers,17,376,10,b,5,10,3760,2082,0.554,1364,0.363,399,0.106,8,11.42925532
IWSC.USEDAN.json,SL_consumers,17,376,10,c,5,10,3760,2151,0.572,1459,0.388,510,0.136,7,10.82632979
IWSC.USEDAN.json,SL_consumers,17,376,10,d,5,10,3760,2121,0.564,1407,0.374,460,0.122,8,11.15
IWSC.USEDAN.json,SL_consumers,17,376,10,e,5,10,3760,2908,0.773,2043,0.543,605,0.161,4,7.478191489
IWSC.USEDAN.json,SL_consumers,17,376,10,f,5,10,3760,2217,0.59,1542,0.41,611,0.163,7,10.46569149
IWSC.USEDAN.json,SL_consumers,17,376,10,g,5,10,3760,2782,0.74,2024,0.538,698,0.186,4,7.779521277
IWSC.USEDAN.json,SL_consumers,17,376,10,h,5,10,3760,2872,0.764,1994,0.53,590,0.157,4,7.535904255
IWSC.USEDAN.json,SL_consumers,17,376,10,i,5,10,3760,2071,0.551,1373,0.365,435,0.116,8,11.46569149
IWSC.USEDAN.json,SL_consumers,17,376,10,j,5,10,3760,2071,0.551,1362,0.362,432,0.115,8,11.44148936
IWSC.USEDAN.json,SL_consumers,17,376,10,k,5,10,3760,2828,0.752,2020,0.537,688,0.183,4,7.810638298
IWSC.USEDAN.json,SL_consumers,17,376,10,l,5,10,3760,2716,0.722,1978,0.526,728,0.194,4,8.082446809
IWSC.USEDAN.json,SL_consumers,17,376,10,m,5,10,3760,2891,0.769,2003,0.533,551,0.147,4,7.513031915
IWSC.USEDAN.json,SL_consumers,17,376,10,n,5,10,3760,2166,0.576,1418,0.377,524,0.139,7,10.78829787
IWSC.USEDAN.json,SL_consumers,17,376,10,o,5,10,3760,2461,0.655,1752,0.466,658,0.175,5,9.099468085
IWSC.USEDAN.json,SL_consumers,17,376,10,p,5,10,3760,2838,0.755,2017,0.536,606,0.161,4,7.479787234
IWSC.USEDAN.json,SL_consumers,17,376,10,q,5,10,3760,2080,0.553,1373,0.365,476,0.127,8,11.21462766
